text,gpt4_target
"@suddenlywestan Because you are a country of mentally ill terrorists. Whoever says different is an enabler, ignorant and blind to endless/countless wars and aggression and the death rate by American terrorist acts. Fuck you American scum!",ERROR
This sub is full of grade A faggots  Comedy fucking Ebola,ERROR
Progress 👍 LGBT rights in Europe: Some countries 'moving backwards on equality for first time in a decade' | Euronews URL #NewsSuite URL,ERROR
Joshua Lelo so you have seen all actors from every community and have deducted no one beats Scarlett? Another African with inferiority complex 🤦🏾‍♀️.,ERROR
He is a racist just like his Father who tried to keep blacks out of his housing Apts back in the day. URL,ERROR
"No, they only do that to black people",ERROR
"Many of the families who are being separated at the border and who are being kept in poor conditions did try to cross legally, through legal ports of entry seeking asylum.",ERROR
Get rid of them and their anchor babies and grand babies. Fucking worthless guinees,ERROR
So hot!!! Wish she squirted in my mouth 💦,ERROR
"Thank you for posting this! Gives us other ""normal"" women confidence. We all aren't skinny, or shaved, of perky. Doesn't mean we still aren't sexy.",ERROR
"Y'all always slip up and say how y'all see women period because this includes the majority of women in yall lives that's not related to you. Especially since men demand pussy just from taking you out, selling you weed or even being nice to you. Niggas can't even be friends lol URL",ERROR
"okay but am i the only one who keep thinking that the tarzan song, ""you'll be in my heart"" by phil collins is such a gay rights themed song. URL",ERROR
Them - DON'T YOU DARE OBJECTIFY US!! ​ Also them - Gets publicly naked as much as fucking possible.,ERROR
@KeGutta These niggas straight bitches,ERROR
"Cold hoe that's a must, bitch body A plus, bitch pussy A1",ERROR
Da real white thug,ERROR
Deport AOC and friends to mexico! Tell them if they want to help the problem to start there! Problem solved for all!,ERROR
"You are an amazing dad! Don't forget that girls can have crush's on other girls too. My mom always asked me is I like anyone rather than any boys and would always talk about ""when you bring home a boyfriend or girlfriend"" which got old once it became clear I was straight but was still the right approach.",ERROR
I'd suck that cock dry and then fill all your holes with cum 😉,ERROR
@LT Wilson I think you are a joke for assuming and being so negative and prudish. She clearly hasn't slept with everyone and bullies like you ridiculous.,ERROR
"Dwight Howard is a undercover Faggot, this guy was caught on camera fondling Isiah Canaan penis when you were playing for the Rockets. Dwight's career is over because he's softer than marmalade and he couldn't shoot a beach ball into a ocean.",ERROR
At this point joe is a retard that cares about transgender playing sports. Sad to see,ERROR
Hero Rohit Sharma love From Pakistan😍😍,ERROR
stupid ugly ass cracker is somehow going to avoid getting the death penalty,ERROR
"They wanna fuck so bad, just do it already, nobody cares if you're gay.",ERROR
Niggas shone fr i bought ah nigga ah sub from da corner sto... too easy,ERROR
As a slightly feminine top I appreciate all masc bottoms that enjoy a dude like me,ERROR
"#जीवन_आशा_मुहिम Even today a young widow has to face social stigma. Wearing white clothes, facing boycott, etc. are common problems. To fight this social evil, initiative to promote widow marriages has been launched by Saint Dr. Gurmeet Ram Rahim Singh Ji Insan @Gurmeetramrahim",ERROR
"Gays, it's June. Be gay, do crimes, shoot your shot, seize the means, be flamboyant and joyous and freaky, punch a nazi in the face, tell your friends you love them, run a bath, don't be sorry, our desire is our power.",ERROR
white people are fucking crazy,ERROR
I say abolish muslims and illegals out of this country,ERROR
@odysseuslahori @IqShoaib Hang till death all religious pimps !!,ERROR
Well this explains all the Muslim people I saw gathering in a field this morning.,ERROR
Saudi should attack Iran and see what happens to these barbaric cowards! America should stay out of the fight.,ERROR
"@4248 This is the influence of ""godly people"" that you're bragging about? It would seem to me that racists, demagogues, homophobes, transphobes, serial killers, bigots and misogynistic pieces of shit hide behind ""muh religion"" to preach their hatred or anyone not a straight white male? URL",ERROR
get the fuck out of my country before i bash you beta cunt.,ERROR
"Are you attractive? Do you have a strong frame? Go game all of them and fuck the one who takes the most interest.  Be attractive, not unattractive and you literally can't go wrong.",ERROR
Fuck Yeah ! Filthy Fuck'n Dirty Cock Cleanin' Sweat Fuck'n Drippin' Total Fuck'n Bottom Slut Christian Gettin' Gang Fuck'n Bred Hard and Fuck'n Rough for Balls Deep Fuck'n Loads of Filthy Fuck'n Dirty Cum Floodin' His Greedy Slutted Out Fuck'n Cunt (T.I.M)(Final Part) 👍 URL,ERROR
Niggers are ruining this country,ERROR
Edeline Chouloute Meghan mom is black her dad is white Meghan is mixed,ERROR
"I mean I agree with you, but focusing on Islam only instead of religion in general is like punishing 1 of your 2 kids for doing the same. Oppressive religion should be your focus, not oppressive Islam",ERROR
fuck white people,ERROR
Americans forgot get that they are the invaders! This wasn't they're land ! You guys took it by raping and murdering innocent people !,ERROR
Fuck all the bitch niggas,ERROR
I'm gonna take that dick put it in my hole I'm gonna ride till I can't no more I got that dick inside my ass condom on the grass eat that fucking bass while I'm smacking my own ass riding on that dick it just made me shit I came out the closet now I really need shit,ERROR
"Dear Lord, looking around this Sunday afternoon and it seems like the world is letting these vile terrorists murderers of our fellow Americans win. Their actions have just incited more hate. We pray to not let them win. Do not let the devil win. Please Lord help us LOVE one URL",ERROR
Please send us a video of you fucking a dildo or your daddy... But I also love to see a pussy drooling bad,ERROR
This black retarded 🤡 always tryna diss the rockets.. who is blood tho???? Never ever heard of cuz stats,ERROR
Counterpoint: almost no one is actually afraid of being labelled as transphobic. Transphobia is an incredibly common prejudice which carries little to no consequences - which is how this article and headline got published in first place  URL,ERROR
It's hard to find her attractive when she lacks basic intelligence,ERROR
"@thedailybeast All the brits still have Ass hurt from the spanking we gave them a couple hundred years ago. In fact, if their food and weather weren't absolute shit we would have already colonized them. America is the ONLY reason you twats never lived under a hammer and sickle flag.",ERROR
Islam needs to be fucking destroyed.,ERROR
"Are you people actually believing this propaganda.....  These ratchet women haven't done a thing , except spew hate and rhetoric....they are gonna get Saddamed...",ERROR
@Ali Delon Love Turkey and brave Turks from Indian Muslim! In Shaa Allah we will rise again!,ERROR
Disregard all the science that says there are only two genders; looks like you're just fucked in the head.,ERROR
Corrected Headline: Local losers defy federal law and proudly put illegal aliens ahead of American citizens and legal residents.,ERROR
"Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now fucking take it, cry all you want that ain't gonna stop this bull from raping your boipussy apart he'll only stop when he is done & shoots his huge load deep inside. URL",ERROR
Because it's the Word of God maybe?  Just spitballin,ERROR
God Bless From a Trinidadian Muslim!,ERROR
"You'd be surprised how quickly ""stop right there criminal scum!"" Turns into ""fuck me right here! Criminal cum!"" When the culprit is cute, crazy, and has a cock as long and thick as a forearm- URL",ERROR
Trump is right. We need a deportation force and throw a few million of them out. And then build a wall so they can't get back in. Then they can be happy in their brown shitholes without having to live among the white men they hate so much.,ERROR
Majority of girls talking to me after they find out I play for the same team URL,ERROR
">That's a little uncharitable. I'm not a white nationalist, nor do I want to keep the races separate. I don't mean to be uncharitable there, but I was trying to be clear on why I think your statement was so concerning. I don't think you're a white nationalist and I'm glad that you have made this statement to clarify that. >And my point is that different cultures should be celebrated instead of muted. I think we can all agree about that.",ERROR
This just make me want them deported all the more. The brown 4 have done nothing to serve the people. All they do is work against Trump. They need to be gone now!,ERROR
She must be mormon 6 kids?,ERROR
Deep down in my inner demonic soul. I feel like nuking Arab world for what they're doing Black people. I finally gave up feeling sympathy for these creatures. I hope Israel and western world continue bombing them creature and dismember them apart.,ERROR
Another American violent crap - Americans are working hard to change world mentality in order to make another billion.,ERROR
"""where they ultimately need to be"" is back in the fucking Congo you morons URL",ERROR
Bye Felicia I'd be no Fucking use to you nor would King Kong to your pussy after insertion of that baseball bat,ERROR
deadly class really got canceled. homophobia,ERROR
She's a piece of shit I hope she catches an STD.,ERROR
Bitches be salty as hell when a nigga treat they Ma dukes like a queen but not them 🤣,ERROR
You get to fuck her and get fucked in the ass by her daddy,ERROR
"Hey Twitter!!! Islam is a tool of Satan!!! Muslims worship a child molester!!! There is only one God and he is YOUR maker and he still sits on his throne, watching all of you disgusting fools!!!! I pity all of you when you stand before him!!",ERROR
Ainz Ooal Pwn 229 yup 150 years after slavery was outlawed and still blacks sold other blacks into slavery what a shame,ERROR
Because you're old and pathetic incel trash who only thinks of things that aren't funny.,ERROR
"Nice! As a bi couple, we thoroughly enjoy bi dad friends =)",ERROR
They should use this on white male domestic terrorist cells.,ERROR
Washington Post and there white genocide agenda.,ERROR
i almost puke seeing this transvestite,ERROR
@nailainayat I thought in islam there are no siblings only couples! Because brother marries his own sister is what cruel reality of islam! Even in many cases in India muslim father marries his own daughter on the pretext that it is islamic! And changes entire relationship!,ERROR
Maybe they are only good enough to get hood niggas so they try meme them like they're desirable long term. Yeah an educated thirsty nigga might dick u down but will he stay with some hood ass Thot? I think not. It's all they can get so they make it seem like it's all that they want.,ERROR
Shut yo gay ass up dwight,ERROR
